pagina,lineas_procesadas,lineas_corregidas
Arriba-España-Manila_p001,156,122
Arriba-España-Manila_p002,180,135
Arriba-España-Manila_p003,157,99
Arriba-España-Manila_p004,174,120
Arriba-España-Manila_p005,144,98
Arriba-España-Manila_p006,217,165
Arriba-España-Manila_p007,181,141
Arriba-España-Manila_p008,175,121
Arriba-España-Manila_p009,146,106
Arriba-España-Manila_p010,223,149
Arriba-España-Manila_p011,96,66
Arriba-España-Manila_p012,166,153
Arriba-España-Manila_p013,171,136
Arriba-España-Manila_p014,3,0
Arriba-España-Manila_p015,132,106
Arriba-España-Manila_p016,163,116
Arriba-España-Manila_p017,184,139
Arriba-España-Manila_p018,239,174
Arriba-España-Manila_p019,187,140
Arriba-España-Manila_p020,141,91
Arriba-España-Manila_p021,129,117
Arriba-España-Manila_p022,155,114
Arriba-España-Manila_p023,163,126
Arriba-España-Manila_p024,219,157
Arriba-España-Manila_p025,164,117
Arriba-España-Manila_p026,159,107
Arriba-España-Manila_p027,124,89
Arriba-España-Manila_p028,153,113
Arriba-España-Manila_p029,139,107
Arriba-España-Manila_p030,175,117
Arriba-España-Manila_p031,140,108
Arriba-España-Manila_p032,158,113
Arriba-España-Manila_p033,163,133
Arriba-España-Manila_p034,150,115
Arriba-España-Manila_p035,163,132
Arriba-España-Manila_p036,192,137
Arriba-España-Manila_p037,208,166
Arriba-España-Manila_p038,175,135
Arriba-España-Manila_p039,153,123
Arriba-España-Manila_p040,218,161
Arriba-España-Manila_p041,139,87
Arriba-España-Manila_p042,156,114
Arriba-España-Manila_p043,207,160
Arriba-España-Manila_p044,153,115
Arriba-España-Manila_p045,169,144
Arriba-España-Manila_p046,190,135
Arriba-España-Manila_p047,240,176
Arriba-España-Manila_p048,204,155
Arriba-España-Manila_p049,154,112
Arriba-España-Manila_p050,152,119
Arriba-España-Manila_p051,234,188
Arriba-España-Manila_p052,170,128
Arriba-España-Manila_p053,117,75
Arriba-España-Manila_p054,16,11
Arriba-España-Manila_p055,220,155
Arriba-España-Manila_p056,120,95
Arriba-España-Manila_p057,158,147
Arriba-España-Manila_p058,166,115
Arriba-España-Manila_p059,237,205
Arriba-España-Manila_p060,249,182
Arriba-España-Manila_p061,154,115
Arriba-España-Manila_p062,147,120
Arriba-España-Manila_p063,198,146
Arriba-España-Manila_p064,158,135
Arriba-España-Manila_p065,208,149
Arriba-España-Manila_p066,233,170
Arriba-España-Manila_p067,181,141
Arriba-España-Manila_p068,144,99
Arriba-España-Manila_p069,213,154
Arriba-España-Manila_p070,123,96
Arriba-España-Manila_p071,176,140
Arriba-España-Manila_p072,118,92
Arriba-España-Manila_p073,212,166
Arriba-España-Manila_p074,148,95
Arriba-España-Manila_p075,173,120
Arriba-España-Manila_p076,162,133
Arriba-España-Manila_p077,171,128
Arriba-España-Manila_p078,95,71
Arriba-España-Manila_p079,139,102
Arriba-España-Manila_p080,212,146
Arriba-España-Manila_p081,150,115
Arriba-España-Manila_p082,99,82
Arriba-España-Manila_p083,147,128
Arriba-España-Manila_p084,186,160
Arriba-España-Manila_p085,168,117
Arriba-España-Manila_p086,143,111
Arriba-España-Manila_p087,152,113
Arriba-España-Manila_p088,224,164
Arriba-España-Manila_p089,231,192
Arriba-España-Manila_p090,226,180
Arriba-España-Manila_p091,113,72
Arriba-España-Manila_p092,114,83
Arriba-España-Manila_p093,157,126
Arriba-España-Manila_p094,158,118
Arriba-España-Manila_p095,132,102
Arriba-España-Manila_p096,78,54
Arriba-España-Manila_p097,156,125
Arriba-España-Manila_p098,162,137
Arriba-España-Manila_p099,25,12
Arriba-España-Manila_p100,148,115
Arriba-España-Manila_p101,137,124
Arriba-España-Manila_p102,163,136
Arriba-España-Manila_p103,140,106
Arriba-España-Manila_p104,174,138
Arriba-España-Manila_p105,174,148
Arriba-España-Manila_p106,190,153
Arriba-España-Manila_p107,148,110
Arriba-España-Manila_p108,158,130
Arriba-España-Manila_p109,148,133
Arriba-España-Manila_p110,135,109
Arriba-España-Manila_p111,125,88
Arriba-España-Manila_p112,145,127
Arriba-España-Manila_p113,144,127
Arriba-España-Manila_p114,170,146
Arriba-España-Manila_p115,157,110
Arriba-España-Manila_p116,127,94
Arriba-España-Manila_p117,161,127
Arriba-España-Manila_p118,158,130
Arriba-España-Manila_p119,151,111
Arriba-España-Manila_p120,219,179
Arriba-España-Manila_p121,159,128
Arriba-España-Manila_p122,149,118
Arriba-España-Manila_p123,136,89
Arriba-España-Manila_p124,114,81
Arriba-España-Manila_p125,97,72
Arriba-España-Manila_p126,170,142
Arriba-España-Manila_p127,173,134
Arriba-España-Manila_p128,158,141
Arriba-España-Manila_p129,121,92
Arriba-España-Manila_p130,169,142
Arriba-España-Manila_p131,165,138
Arriba-España-Manila_p132,148,108
Arriba-España-Manila_p133,164,124
Arriba-España-Manila_p134,224,166
Arriba-España-Manila_p135,112,86
Arriba-España-Manila_p136,130,95
Arriba-España-Manila_p137,147,123
Arriba-España-Manila_p138,152,124
Arriba-España-Manila_p139,163,116
Arriba-España-Manila_p140,142,107
Arriba-España-Manila_p141,168,118
Arriba-España-Manila_p142,167,126
Arriba-España-Manila_p143,125,85
Arriba-España-Manila_p144,119,84
Arriba-España-Manila_p145,174,149
Arriba-España-Manila_p146,174,132
Arriba-España-Manila_p147,153,137
Arriba-España-Manila_p148,179,153
Arriba-España-Manila_p149,167,120
Arriba-España-Manila_p150,194,135
Arriba-España-Manila_p151,166,122
Arriba-España-Manila_p152,144,109
Arriba-España-Manila_p153,149,122
Arriba-España-Manila_p154,144,117
Arriba-España-Manila_p155,163,115
Arriba-España-Manila_p156,164,115
Arriba-España-Manila_p157,168,141
Arriba-España-Manila_p158,169,143
Arriba-España-Manila_p159,121,82
Arriba-España-Manila_p160,119,79
Arriba-España-Manila_p161,157,112
Arriba-España-Manila_p162,180,138
Arriba-España-Manila_p163,154,105
Arriba-España-Manila_p164,164,105
Arriba-España-Manila_p165,179,136
Arriba-España-Manila_p166,191,130
Arriba-España-Manila_p167,202,126
Arriba-España-Manila_p168,142,109
Arriba-España-Manila_p169,108,76
Arriba-España-Manila_p170,161,138
Arriba-España-Manila_p171,139,97
Arriba-España-Manila_p172,175,127
Arriba-España-Manila_p173,148,116
Arriba-España-Manila_p174,114,77
Arriba-España-Manila_p175,104,76
Arriba-España-Manila_p176,149,112
Arriba-España-Manila_p177,148,115
Arriba-España-Manila_p178,179,135
Arriba-España-Manila_p179,169,118
Arriba-España-Manila_p180,153,111
Arriba-España-Manila_p181,171,121
Arriba-España-Manila_p182,151,121
Arriba-España-Manila_p183,158,110
Arriba-España-Manila_p184,153,117
Arriba-España-Manila_p185,230,177
Arriba-España-Manila_p186,151,112
Arriba-España-Manila_p187,235,179
Arriba-España-Manila_p188,163,138
Arriba-España-Manila_p189,163,121
Arriba-España-Manila_p190,161,108
Arriba-España-Manila_p191,175,151
Arriba-España-Manila_p192,158,126
Arriba-España-Manila_p193,153,117
Arriba-España-Manila_p194,187,144
Arriba-España-Manila_p195,178,138
Arriba-España-Manila_p196,228,170
Arriba-España-Manila_p197,170,141
Arriba-España-Manila_p198,163,133
Arriba-España-Manila_p199,172,132
Arriba-España-Manila_p200,132,102
Arriba-España-Manila_p201,157,119
Arriba-España-Manila_p202,167,136
Arriba-España-Manila_p203,175,154
Arriba-España-Manila_p204,170,151
Arriba-España-Manila_p205,167,137
Arriba-España-Manila_p206,147,106
Arriba-España-Manila_p207,129,99
Arriba-España-Manila_p208,170,131
