Post-OCR Excelsior 1937-1940 - Llama 3.2 (conservador)
Inicio: 2026-09-14T10:09:38.275050
pagina,lineas_procesadas,lineas_corregidas
Excelsior-1937-10-01-N1053_p001,2,1
Excelsior-1937-10-01-N1053_p002,4,1
Excelsior-1937-10-01-N1053_p003,162,40
Excelsior-1937-10-01-N1053_p004,102,60
Excelsior-1937-10-01-N1053_p005,104,78
Excelsior-1937-10-01-N1053_p006,107,67
Excelsior-1937-10-01-N1053_p007,98,54
Excelsior-1937-10-01-N1053_p008,73,40
Excelsior-1937-10-01-N1053_p009,44,35
Excelsior-1937-10-01-N1053_p010,54,34
Excelsior-1937-10-01-N1053_p011,152,113
Excelsior-1937-10-01-N1053_p012,116,87
Excelsior-1937-10-01-N1053_p013,13,4
Excelsior-1937-10-01-N1053_p014,2,2
Excelsior-1937-10-01-N1053_p015,33,26
Excelsior-1937-10-01-N1053_p016,1,1
Excelsior-1937-10-01-N1053_p017,14,8
Excelsior-1937-10-01-N1053_p018,30,25
Excelsior-1937-10-01-N1053_p019,3,0
Excelsior-1937-10-01-N1053_p020,18,6
Excelsior-1937-10-01-N1053_p021,34,23
Excelsior-1937-10-01-N1053_p022,77,52
Excelsior-1937-10-01-N1053_p023,132,104
Excelsior-1937-10-01-N1053_p024,116,79
Excelsior-1937-10-01-N1053_p025,26,9
Excelsior-1937-10-01-N1053_p026,23,19
Excelsior-1937-10-01-N1053_p027,22,20
Excelsior-1937-10-01-N1053_p028,44,20
Excelsior-1937-10-01-N1053_p029,72,50
Excelsior-1937-10-01-N1053_p030,166,118
Excelsior-1937-10-01-N1053_p031,24,11
Excelsior-1937-10-01-N1053_p032,1,0
Excelsior-1937-10-01-N1053_p034,162,108
Excelsior-1937-10-01-N1053_p035,82,52
Excelsior-1937-10-01-N1053_p036,41,21
Excelsior-1937-10-01-N1053_p037,45,34
Excelsior-1937-10-01-N1053_p038,40,20
Excelsior-1937-10-01-N1053_p039,36,20
Excelsior-1937-10-01-N1053_p040,28,17
Excelsior-1937-10-01-N1053_p041,1,0
Excelsior-1937-10-01-N1053_p042,50,29
Excelsior-1937-10-01-N1053_p043,157,106
Excelsior-1937-10-01-N1053_p044,84,48
Excelsior-1937-10-01-N1053_p045,29,23
Excelsior-1937-10-01-N1053_p046,29,17
Excelsior-1937-10-01-N1053_p047,10,2
Excelsior-1937-10-01-N1053_p048,21,8
Excelsior-1937-10-01-N1053_p049,5,2
Excelsior-1937-10-01-N1053_p050,17,3
Excelsior-1937-10-01-N1053_p051,143,87
Excelsior-1937-10-01-N1053_p052,152,89
Excelsior-1937-10-01-N1053_p053,5,1
Excelsior-1937-10-01-N1053_p054,56,22
Excelsior-1937-10-01-N1053_p055,83,61
Excelsior-1937-10-01-N1053_p056,159,112
Excelsior-1937-10-01-N1053_p057,161,98
Excelsior-1937-10-01-N1053_p058,53,32
Excelsior-1937-10-01-N1053_p059,38,33
Excelsior-1937-10-01-N1053_p060,20,10
Excelsior-1937-10-01-N1053_p061,116,68
Excelsior-1937-10-01-N1053_p062,92,62
Excelsior-1937-10-01-N1053_p063,27,9
Excelsior-1937-10-01-N1053_p064,84,32
Excelsior-1937-10-01-N1053_p065,60,41
Excelsior-1937-10-01-N1053_p066,86,63
Excelsior-1937-10-01-N1053_p067,55,40
Excelsior-1937-10-01-N1053_p068,38,6
Excelsior-1937-10-01-N1053_p069,72,45
Excelsior-1937-10-01-N1053_p070,141,97
Excelsior-1937-10-01-N1053_p071,163,108
Excelsior-1937-10-01-N1053_p072,66,41
Excelsior-1937-10-01-N1053_p073,28,22
Excelsior-1937-10-01-N1053_p074,56,19
Excelsior-1937-10-01-N1053_p075,110,71
Excelsior-1937-10-01-N1053_p076,109,58
Excelsior-1937-10-01-N1053_p077,46,25
Excelsior-1937-10-01-N1053_p078,27,9
Excelsior-1937-10-01-N1053_p079,3,1
Excelsior-1937-10-01-N1053_p080,33,23
Excelsior-1938-02-01-N1055_p001,7,2
Excelsior-1938-02-01-N1055_p002,63,13
Excelsior-1938-02-01-N1055_p003,57,23
Excelsior-1938-02-01-N1055_p004,156,82
Excelsior-1938-02-01-N1055_p005,99,36
Excelsior-1938-02-01-N1055_p006,108,46
Excelsior-1938-02-01-N1055_p007,56,23
Excelsior-1938-02-01-N1055_p008,45,24
Excelsior-1938-02-01-N1055_p009,99,61
Excelsior-1938-02-01-N1055_p010,103,44
Excelsior-1938-02-01-N1055_p011,32,15
Excelsior-1938-02-01-N1055_p012,47,9
Excelsior-1938-02-01-N1055_p013,40,20
Excelsior-1938-02-01-N1055_p014,40,14
Excelsior-1938-02-01-N1055_p015,10,4
Excelsior-1938-02-01-N1055_p016,34,7
Excelsior-1938-02-01-N1055_p017,122,52
Excelsior-1938-02-01-N1055_p018,101,49
Excelsior-1938-02-01-N1055_p019,129,75
Excelsior-1938-02-01-N1055_p020,22,16
Excelsior-1938-02-01-N1055_p021,160,69
Excelsior-1938-02-01-N1055_p022,176,98
Excelsior-1938-02-01-N1055_p023,7,4
Excelsior-1938-02-01-N1055_p024,28,8
Excelsior-1938-02-01-N1055_p025,163,79
Excelsior-1938-02-01-N1055_p026,167,79
Excelsior-1938-02-01-N1055_p027,156,72
Excelsior-1938-02-01-N1055_p028,20,7
Excelsior-1938-02-01-N1055_p029,33,19
Excelsior-1938-02-01-N1055_p030,65,43
Excelsior-1938-02-01-N1055_p031,53,25
Excelsior-1938-02-01-N1055_p032,37,16
Excelsior-1938-02-01-N1055_p033,28,3
Excelsior-1938-02-01-N1055_p034,39,22
Excelsior-1938-02-01-N1055_p035,153,73
Excelsior-1938-02-01-N1055_p036,152,74
Excelsior-1938-02-01-N1055_p037,60,31
Excelsior-1938-02-01-N1055_p038,44,27
Excelsior-1938-02-01-N1055_p039,174,98
Excelsior-1938-02-01-N1055_p040,86,49
Excelsior-1938-02-01-N1055_p041,18,9
Excelsior-1938-02-01-N1055_p042,18,9
Excelsior-1938-02-01-N1055_p043,71,24
Excelsior-1938-02-01-N1055_p044,73,33
Excelsior-1938-02-01-N1055_p045,72,23
Excelsior-1938-02-01-N1055_p046,49,22
Excelsior-1938-02-01-N1055_p047,95,27
Excelsior-1938-02-01-N1055_p048,20,8
Excelsior-1938-02-01-N1055_p049,77,44
Excelsior-1938-02-01-N1055_p050,72,54
Excelsior-1938-02-01-N1055_p051,58,31
Excelsior-1938-02-01-N1055_p052,102,52
Excelsior-1938-02-01-N1055_p053,94,45
Excelsior-1938-02-01-N1055_p054,189,70
Excelsior-1938-02-01-N1055_p055,48,28
Excelsior-1938-02-01-N1055_p056,157,76
Excelsior-1938-02-01-N1055_p057,139,65
Excelsior-1938-02-01-N1055_p058,46,17
Excelsior-1938-02-01-N1055_p059,10,3
Excelsior-1938-05-01-N1058_p001,1,0
Excelsior-1938-05-01-N1058_p002,28,10
Excelsior-1938-05-01-N1058_p003,44,22
Excelsior-1938-05-01-N1058_p004,144,60
Excelsior-1938-05-01-N1058_p005,83,41
Excelsior-1938-05-01-N1058_p006,105,51
Excelsior-1938-05-01-N1058_p007,10,6
Excelsior-1938-05-01-N1058_p008,19,12
Excelsior-1938-05-01-N1058_p009,145,86
Excelsior-1938-05-01-N1058_p010,156,88
Excelsior-1938-05-01-N1058_p011,143,81
Excelsior-1938-05-01-N1058_p012,12,4
Excelsior-1938-05-01-N1058_p013,44,22
Excelsior-1938-05-01-N1058_p014,31,18
Excelsior-1938-05-01-N1058_p015,4,1
Excelsior-1938-05-01-N1058_p016,1,0
Excelsior-1938-05-01-N1058_p017,75,31
Excelsior-1938-05-01-N1058_p018,121,58
Excelsior-1938-05-01-N1058_p019,40,13
Excelsior-1938-05-01-N1058_p020,23,5
Excelsior-1938-05-01-N1058_p021,43,18
Excelsior-1938-05-01-N1058_p022,115,59
Excelsior-1938-05-01-N1058_p023,137,59
Excelsior-1938-05-01-N1058_p024,0,0
Excelsior-1938-05-01-N1058_p025,54,32
Excelsior-1938-05-01-N1058_p026,59,14
Excelsior-1938-05-01-N1058_p027,98,53
Excelsior-1938-05-01-N1058_p028,128,71
Excelsior-1938-05-01-N1058_p029,148,78
Excelsior-1938-05-01-N1058_p030,74,37
Excelsior-1938-05-01-N1058_p031,5,2
Excelsior-1938-05-01-N1058_p032,17,11
Excelsior-1938-05-01-N1058_p033,1,1
Excelsior-1938-05-01-N1058_p034,101,47
Excelsior-1938-05-01-N1058_p035,111,54
Excelsior-1938-05-01-N1058_p036,116,58
Excelsior-1938-05-01-N1058_p037,155,68
Excelsior-1938-05-01-N1058_p038,83,40
Excelsior-1938-05-01-N1058_p039,80,38
Excelsior-1938-05-01-N1058_p040,70,27
Excelsior-1938-05-01-N1058_p041,18,9
Excelsior-1938-05-01-N1058_p042,70,27
Excelsior-1938-05-01-N1058_p043,9,3
Excelsior-1938-05-01-N1058_p044,30,13
Excelsior-1938-05-01-N1058_p045,155,61
Excelsior-1938-05-01-N1058_p046,137,71
Excelsior-1938-05-01-N1058_p047,16,4
Excelsior-1938-05-01-N1058_p048,139,77
Excelsior-1938-05-01-N1058_p049,145,84
Excelsior-1938-05-01-N1058_p050,80,31
Excelsior-1938-05-01-N1058_p051,84,51
Excelsior-1938-05-01-N1058_p052,134,66
Excelsior-1938-05-01-N1058_p053,122,54
Excelsior-1938-05-01-N1058_p054,79,41
Excelsior-1938-05-01-N1058_p055,16,6
Excelsior-1938-05-01-N1058_p056,1,0
Excelsior-1938-05-01-N1058_p057,43,13
Excelsior-1938-05-01-N1058_p058,66,35
Excelsior-1938-05-01-N1058_p059,138,74
Excelsior-1938-05-01-N1058_p060,55,26
Excelsior-1938-05-01-N1058_p061,96,48
Excelsior-1938-05-01-N1058_p062,118,50
Excelsior-1938-05-01-N1058_p063,70,38
Excelsior-1938-05-01-N1058_p064,174,84
Excelsior-1938-05-01-N1058_p065,158,74
Excelsior-1938-05-01-N1058_p066,159,88
Excelsior-1938-05-01-N1058_p067,57,21
Excelsior-1938-05-01-N1058_p068,2,1
Excelsior-1938-06-01-N1059_p001,4,0
Excelsior-1938-06-01-N1059_p002,17,4
Excelsior-1938-06-01-N1059_p003,47,17
Excelsior-1938-06-01-N1059_p004,108,55
Excelsior-1938-06-01-N1059_p005,95,33
Excelsior-1938-06-01-N1059_p006,117,44
Excelsior-1938-06-01-N1059_p007,45,17
Excelsior-1938-06-01-N1059_p008,50,16
Excelsior-1938-06-01-N1059_p009,161,87
Excelsior-1938-06-01-N1059_p010,162,71
Excelsior-1938-06-01-N1059_p011,52,28
Excelsior-1938-06-01-N1059_p012,49,28
Excelsior-1938-06-01-N1059_p013,35,15
Excelsior-1938-06-01-N1059_p014,45,18
Excelsior-1938-06-01-N1059_p015,22,6
Excelsior-1938-06-01-N1059_p016,0,0
Excelsior-1938-06-01-N1059_p017,62,24
Excelsior-1938-06-01-N1059_p018,48,21
Excelsior-1938-06-01-N1059_p019,5,3
Excelsior-1938-06-01-N1059_p020,20,9
Excelsior-1938-06-01-N1059_p021,102,47
Excelsior-1938-06-01-N1059_p022,151,66
Excelsior-1938-06-01-N1059_p023,85,44
Excelsior-1938-06-01-N1059_p024,67,17
Excelsior-1938-06-01-N1059_p025,97,41
Excelsior-1938-06-01-N1059_p026,68,37
Excelsior-1938-06-01-N1059_p027,149,69
Excelsior-1938-06-01-N1059_p028,87,38
Excelsior-1938-06-01-N1059_p029,2,1
Excelsior-1938-06-01-N1059_p030,34,16
Excelsior-1938-06-01-N1059_p031,150,86
Excelsior-1938-06-01-N1059_p032,108,57
Excelsior-1938-06-01-N1059_p033,41,17
Excelsior-1938-06-01-N1059_p034,20,7
Excelsior-1938-06-01-N1059_p035,106,63
Excelsior-1938-06-01-N1059_p036,143,71
Excelsior-1938-06-01-N1059_p037,67,23
Excelsior-1938-06-01-N1059_p038,73,26
Excelsior-1938-06-01-N1059_p039,52,17
Excelsior-1938-06-01-N1059_p040,19,9
Excelsior-1938-06-01-N1059_p041,13,8
Excelsior-1938-06-01-N1059_p042,23,8
Excelsior-1938-06-01-N1059_p043,147,69
Excelsior-1938-06-01-N1059_p044,48,25
Excelsior-1938-06-01-N1059_p045,18,6
Excelsior-1938-06-01-N1059_p046,50,17
Excelsior-1938-06-01-N1059_p047,118,48
Excelsior-1938-06-01-N1059_p048,13,6
Excelsior-1938-06-01-N1059_p049,54,25
Excelsior-1938-06-01-N1059_p050,42,18
Excelsior-1938-06-01-N1059_p051,89,34
Excelsior-1938-06-01-N1059_p052,91,41
Excelsior-1938-06-01-N1059_p053,51,22
Excelsior-1938-06-01-N1059_p054,18,10
Excelsior-1938-06-01-N1059_p055,129,68
Excelsior-1938-06-01-N1059_p056,124,55
Excelsior-1938-06-01-N1059_p057,108,52
Excelsior-1938-06-01-N1059_p058,110,48
Excelsior-1938-06-01-N1059_p059,48,18
Excelsior-1938-06-01-N1059_p060,3,2
Excelsior-1938-08-01-N1061_p001,1,1
Excelsior-1938-08-01-N1061_p002,22,4
Excelsior-1938-08-01-N1061_p003,39,15
Excelsior-1938-08-01-N1061_p004,2,0
Excelsior-1938-08-01-N1061_p005,107,48
Excelsior-1938-08-01-N1061_p006,133,61
Excelsior-1938-08-01-N1061_p007,27,19
Excelsior-1938-08-01-N1061_p008,40,19
Excelsior-1938-08-01-N1061_p009,30,11
Excelsior-1938-08-01-N1061_p010,42,17
Excelsior-1938-08-01-N1061_p011,164,80
Excelsior-1938-08-01-N1061_p012,168,101
Excelsior-1938-08-01-N1061_p013,77,42
Excelsior-1938-08-01-N1061_p014,34,20
Excelsior-1938-08-01-N1061_p015,113,66
Excelsior-1938-08-01-N1061_p016,49,30
Excelsior-1938-08-01-N1061_p017,1,0
Excelsior-1938-08-01-N1061_p018,40,22
Excelsior-1938-08-01-N1061_p019,46,21
Excelsior-1938-08-01-N1061_p020,33,16
Excelsior-1938-08-01-N1061_p021,52,30
Excelsior-1938-08-01-N1061_p022,63,27
Excelsior-1938-08-01-N1061_p023,9,5
Excelsior-1938-08-01-N1061_p024,0,0
Excelsior-1938-08-01-N1061_p025,32,11
Excelsior-1938-08-01-N1061_p026,29,12
Excelsior-1938-08-01-N1061_p027,146,67
Excelsior-1938-08-01-N1061_p028,2,0
Excelsior-1938-08-01-N1061_p029,112,54
Excelsior-1938-08-01-N1061_p030,4,0
Excelsior-1938-08-01-N1061_p031,52,28
Excelsior-1938-08-01-N1061_p032,29,15
Excelsior-1938-08-01-N1061_p033,160,81
Excelsior-1938-08-01-N1061_p034,159,88
Excelsior-1938-08-01-N1061_p035,27,10
Excelsior-1938-08-01-N1061_p036,54,31
Excelsior-1938-08-01-N1061_p037,53,23
Excelsior-1938-08-01-N1061_p038,45,14
Excelsior-1938-08-01-N1061_p039,41,23
Excelsior-1938-08-01-N1061_p040,59,14
Excelsior-1938-08-01-N1061_p041,153,79
Excelsior-1938-08-01-N1061_p042,152,80
Excelsior-1938-08-01-N1061_p043,78,38
Excelsior-1938-08-01-N1061_p044,77,24
Excelsior-1938-08-01-N1061_p045,91,33
Excelsior-1938-08-01-N1061_p046,94,40
Excelsior-1938-08-01-N1061_p047,108,48
Excelsior-1938-08-01-N1061_p048,178,77
Excelsior-1938-08-01-N1061_p049,157,79
Excelsior-1938-08-01-N1061_p050,0,0
Excelsior-1938-08-01-N1061_p051,0,0
Excelsior-1938-08-01-N1061_p052,1,0
Excelsior-1938-08-01-N1061_p053,95,49
Excelsior-1938-08-01-N1061_p054,10,5
Excelsior-1938-08-01-N1061_p055,20,7
Excelsior-1938-08-01-N1061_p056,107,40
Excelsior-1938-08-01-N1061_p057,47,17
Excelsior-1938-08-01-N1061_p058,52,8
Excelsior-1938-08-01-N1061_p059,31,15
Excelsior-1938-08-01-N1061_p060,29,15
Excelsior-1938-08-01-N1061_p061,27,14
Excelsior-1938-08-01-N1061_p062,28,12
Excelsior-1938-08-01-N1061_p063,45,18
Excelsior-1938-08-01-N1061_p064,107,56
Excelsior-1938-08-01-N1061_p065,113,57
Excelsior-1938-08-01-N1061_p066,139,78
Excelsior-1938-08-01-N1061_p067,143,70
Excelsior-1938-08-01-N1061_p068,56,9
Excelsior-1938-08-01-N1061_p069,2,2
Excelsior-1938-09-01-N1062_p001,3,1
Excelsior-1938-09-01-N1062_p002,142,47
Excelsior-1938-09-01-N1062_p003,90,42
Excelsior-1938-09-01-N1062_p004,92,55
Excelsior-1938-09-01-N1062_p005,50,18
Excelsior-1938-09-01-N1062_p006,18,10
Excelsior-1938-09-01-N1062_p007,124,50
Excelsior-1938-09-01-N1062_p008,141,69
Excelsior-1938-09-01-N1062_p009,87,43
Excelsior-1938-09-01-N1062_p010,31,18
Excelsior-1938-09-01-N1062_p011,26,11
Excelsior-1938-09-01-N1062_p012,4,1
Excelsior-1938-09-01-N1062_p013,23,15
Excelsior-1938-09-01-N1062_p014,56,35
Excelsior-1938-09-01-N1062_p015,57,29
Excelsior-1938-09-01-N1062_p016,57,28
Excelsior-1938-09-01-N1062_p017,46,27
